year,region,livebirths
2008,АР Крим,23353
2008,Вінницька область,17915
2008,Волинська область,15301
2008,Дніпропетровська область,37383
2008,Донецька область,44394
2008,Житомирська область,14641
2008,Закарпатська область,18292
2008,Запорізька область,18901
2008,Івано-Франківська область,16983
2008,Київська область,20195
2008,Кіровоградська область,10538
2008,Луганська область,22259
2008,Львівська область,29007
2008,м.Київ область,31965
2008,м.Севастополь область,4170
2008,Миколаївська область,13378
2008,Одеська область,28780
2008,Полтавська область,14748
2008,Рівненська область,17089
2008,Сумська область,10835
2008,Тернопільська область,12388
2008,Харківська область,27207
2008,Херсонська область,12473
2008,Хмельницька область,14822
2008,Черкаська область,12466
2008,Чернівецька область,11067
2008,Чернігівська область,10039
2009,АР Крим область,23524
2009,Вінницька область,18053
2009,Волинська область,15290
2009,Дніпропетровська область,37309
2009,Донецька область,43373
2009,Житомирська область,15108
2009,Закарпатська область,18219
2009,Запорізька область,18409
2009,Івано-Франківська область,17333
2009,Київська область,20616
2009,Кіровоградська область,10916
2009,Луганська область,21671
2009,Львівська область,30079
2009,м.Київ область,32488
2009,м.Севастополь область,4257
2009,Миколаївська область,13093
2009,Одеська область,28986
2009,Полтавська область,14755
2009,Рівненська область,17544
2009,Сумська область,10681
2009,Тернопільська область,12404
2009,Харківська область,27226
2009,Херсонська область,12323
2009,Хмельницька область,14690
2009,Черкаська область,12594
2009,Чернівецька область,11050
2009,Чернігівська область,10534
2010,АР Крим область,23238
2010,Вінницька область,17508
2010,Волинська область,14848
2010,Дніпропетровська область,35593
2010,Донецька область,41258
2010,Житомирська область,14678
2010,Закарпатська область,18301
2010,Запорізька область,18018
2010,Івано-Франківська область,16343
2010,Київська область,19737
2010,Кіровоградська область,10531
2010,Луганська область,20969
2010,Львівська область,28651
2010,м.Київ область,32082
2010,м.Севастополь область,4184
2010,Миколаївська область,12831
2010,Одеська область,28690
2010,Полтавська область,14250
2010,Рівненська область,17074
2010,Сумська область,10360
2010,Тернопільська область,11872
2010,Харківська область,26286
2010,Херсонська область,12388
2010,Хмельницька область,14414
2010,Черкаська область,12462
2010,Чернівецька область,11032
2010,Чернігівська область,10091
2011,АР Крим область,23394
2011,Вінницька область,17894
2011,Волинська область,14620
2011,Дніпропетровська область,36116
2011,Донецька область,41720
2011,Житомирська область,15154
2011,Закарпатська область,18460
2011,Запорізька область,18198
2011,Івано-Франківська область,16497
2011,Київська область,20083
2011,Кіровоградська область,10578
2011,Луганська область,21320
2011,Львівська область,28904
2011,м.Київ область,32068
2011,м.Севастополь область,4252
2011,Миколаївська область,13029
2011,Одеська область,29225
2011,Полтавська область,14167
2011,Рівненська область,17697
2011,Сумська область,10473
2011,Тернопільська область,11964
2011,Харківська область,26317
2011,Херсонська область,12085
2011,Хмельницька область,14492
2011,Черкаська область,12473
2011,Чернівецька область,11281
2011,Чернігівська область,10134
2012,АР Крим область,24702
2012,Вінницька область,18340
2012,Волинська область,15346
2012,Дніпропетровська область,37087
2012,Донецька область,42839
2012,Житомирська область,15486
2012,Закарпатська область,18968
2012,Запорізька область,18882
2012,Івано-Франківська область,17101
2012,Київська область,20966
2012,Кіровоградська область,11029
2012,Луганська область,21743
2012,Львівська область,30220
2012,м.Київ область,33887
2012,м.Севастополь область,4584
2012,Миколаївська область,13515
2012,Одеська область,30384
2012,Полтавська область,14635
2012,Рівненська область,18316
2012,Сумська область,11093
2012,Тернопільська область,12202
2012,Харківська область,27244
2012,Херсонська область,12643
2012,Хмельницька область,14881
2012,Черкаська область,12798
2012,Чернівецька область,11592
2012,Чернігівська область,10222
2013,АР Крим область,24054
2013,Вінницька область,17437
2013,Волинська область,14700
2013,Дніпропетровська область,36134
2013,Донецька область,41034
2013,Житомирська область,15001
2013,Закарпатська область,18491
2013,Запорізька область,18134
2013,Івано-Франківська область,16716
2013,Київська область,20511
2013,Кіровоградська область,10562
2013,Луганська область,20531
2013,Львівська область,29542
2013,м.Київ область,33305
2013,м.Севастополь область,4463
2013,Миколаївська область,13043
2013,Одеська область,29075
2013,Полтавська область,14296
2013,Рівненська область,17445
2013,Сумська область,10411
2013,Тернопільська область,11807
2013,Харківська область,26700
2013,Херсонська область,12300
2013,Хмельницька область,14548
2013,Черкаська область,12100
2013,Чернівецька область,11465
2013,Чернігівська область,9852
2014,Вінницька область,17547
2014,Волинська область,14668
2014,Дніпропетровська область,36497
2014,Донецька область,35468
2014,Житомирська область,15115
2014,Закарпатська область,18377
2014,Запорізька область,18713
2014,Івано-Франківська область,16886
2014,Київська область,20900
2014,Кіровоградська область,10576
2014,Луганська область,11558
2014,Львівська область,30270
2014,м.Київ область,34821
2014,Миколаївська область,13076
2014,Одеська область,29465
2014,Полтавська область,14504
2014,Рівненська область,17169
2014,Сумська область,10344
2014,Тернопільська область,11717
2014,Харківська область,27690
2014,Херсонська область,12308
2014,Хмельницька область,14631
2014,Черкаська область,12351
2014,Чернівецька область,11679
2014,Чернігівська область,9552
2015,Вінницька область,16427
2015,Волинська область,13378
2015,Дніпропетровська область,33425
2015,Донецька область,16897
2015,Житомирська область,13725
2015,Закарпатська область,16788
2015,Запорізька область,16579
2015,Івано-Франківська область,15583
2015,Київська область,20205
2015,Кіровоградська область,9456
2015,Луганська область,5340
2015,Львівська область,27909
2015,м.Київ область,35558
2015,Миколаївська область,11533
2015,Одеська область,27416
2015,Полтавська область,13481
2015,Рівненська область,16137
2015,Сумська область,9795
2015,Тернопільська область,10776
2015,Харківська область,24939
2015,Херсонська область,11372
2015,Хмельницька область,13793
2015,Черкаська область,11508
2015,Чернівецька область,10657
2015,Чернігівська область,9104
2016,Вінницька область,15316
2016,Волинська область,13033
2016,Дніпропетровська область,31000
2016,Донецька область,19321
2016,Житомирська область,12982
2016,Закарпатська область,16000
2016,Запорізька область,15664
2016,Івано-Франківська область,14660
2016,Київська область,19027
2016,Кіровоградська область,8859
2016,Луганська область,6485
2016,Львівська область,27134
2016,м.Київ область,36569
2016,Миколаївська область,10781
2016,Одеська область,26417
2016,Полтавська область,12476
2016,Рівненська область,15688
2016,Сумська область,8822
2016,Тернопільська область,9974
2016,Харківська область,24004
2016,Херсонська область,10769
2016,Хмельницька область,12742
2016,Черкаська область,10582
2016,Чернівецька область,10226
2016,Чернігівська область,8506
2017,Вінницька область,14142
2017,Волинська область,11914
2017,Дніпропетровська область,27504
2017,Донецька область,17691
2017,Житомирська область,11645
2017,Закарпатська область,14552
2017,Запорізька область,14155
2017,Івано-Франківська область,13426
2017,Київська область,16998
2017,Кіровоградська область,7845
2017,Луганська область,5973
2017,Львівська область,25002
2017,м.Київ область,35359
2017,Миколаївська область,10073
2017,Одеська область,25195
2017,Полтавська область,11070
2017,Рівненська область,14371
2017,Сумська область,8059
2017,Тернопільська область,9289
2017,Харківська область,21631
2017,Херсонська область,9964
2017,Хмельницька область,11483
2017,Черкаська область,9640
2017,Чернівецька область,9433
2017,Чернігівська область,7573
2018,Вінницька область,12769
2018,Волинська область,11270
2018,Дніпропетровська область,25121
2018,Донецька область,15894
2018,Житомирська область,10612
2018,Закарпатська область,13883
2018,Запорізька область,12708
2018,Івано-Франківська область,12645
2018,Київська область,15236
2018,Кіровоградська область,7077
2018,Луганська область,5652
2018,Львівська область,23253
2018,м.Київ область,34586
2018,Миколаївська область,9141
2018,Одеська область,23144
2018,Полтавська область,10193
2018,Рівненська область,13380
2018,Сумська область,7114
2018,Тернопільська область,8545
2018,Харківська область,19657
2018,Херсонська область,9095
2018,Хмельницька область,10698
2018,Черкаська область,8637
2018,Чернівецька область,8710
2018,Чернігівська область,6854
2019,Вінницька область,11878
2019,Волинська область,10420
2019,Дніпропетровська область,22526
2019,Донецька область,14674
2019,Житомирська область,9619
2019,Закарпатська область,13016
2019,Запорізька область,11543
2019,Івано-Франківська область,12128
2019,Київська область,14283
2019,Кіровоградська область,6356
2019,Луганська область,5031
2019,Львівська область,21803
2019,м.Київ область,32503
2019,Миколаївська область,7966
2019,Одеська область,20938
2019,Полтавська область,9043
2019,Рівненська область,12316
2019,Сумська область,6483
2019,Тернопільська область,7896
2019,Харківська область,18038
2019,Херсонська область,8374
2019,Хмельницька область,9939
2019,Черкаська область,7620
2019,Чернівецька область,8295
2019,Чернігівська область,6129
2020,Вінницька область,11486
2020,Волинська область,10448
2020,Дніпропетровська область,21309
2020,Донецька область,11036
2020,Житомирська область,9151
2020,Закарпатська область,13503
2020,Запорізька область,10523
2020,Івано-Франківська область,11793
2020,Київська область,14205
2020,Кіровоградська область,6048
2020,Луганська область,4013
2020,Львівська область,21129
2020,м.Київ область,30670
2020,Миколаївська область,7633
2020,Одеська область,20555
2020,Полтавська область,8629
2020,Рівненська область,12164
2020,Сумська область,6002
2020,Тернопільська область,7846
2020,Харківська область,16729
2020,Херсонська область,7650
2020,Хмельницька область,9694
2020,Черкаська область,7223
2020,Чернівецька область,8093
2020,Чернігівська область,5925
2021,Сумська область,5501
2021,Тернопільська область,7086
2021,Харківська область,15409
2021,Херсонська область,6473
2021,Хмельницька область,8657
2021,Черкаська область,6911
2021,Чернівецька область,7718
2021,Чернігівська область,5352
2021,м.Київ область,26454
2021,Вінницька область,10130
2021,Волинська область,10139
2021,Дніпропетровська область,19103
2021,Донецька область,8938
2021,Житомирська область,8427
2021,Закарпатська область,12300
2021,Запорізька область,9394
2021,Івано-Франківська область,10694
2021,Київська область,8859
2021,Кіровоградська область,5230
2021,Луганська область,2550
2021,Львівська область,19303
2021,Миколаївська область,6928
2021,Одеська область,19223
2021,Полтавська область,8007
2021,Рівненська область,11716
2022,Вінницька область,9356
2022,Волинська область,8627
2022,Дніпропетровська область,15968
2022,Донецька область,2685
2022,Житомирська область,6786
2022,Закарпатська область,10521
2022,Запорізька область,4176
2022,Івано-Франківська область,9410
2022,Київська область,7664
2022,Кіровоградська область,4961
2022,Луганська область,240
2022,Львівська область,17170
2022,Миколаївська область,4175
2022,Одеська область,14671
2022,Полтавська область,7561
2022,Рівненська область,10091
2022,Сумська область,4138
2022,Тернопільська область,6247
2022,Харківська область,7496
2022,Херсонська область,1846
2022,Хмельницька область,7987
2022,Черкаська область,6524
2022,Чернівецька область,6826
2022,Чернігівська область,4179
2022,м.Київ область,17501
2023,Одеська область,13736
2023,Херсонська область,452
2023,м.Київ область,19979
2023,Житомирська область,6942
2023,Сумська область,3998
2023,Донецька область,1448
2023,Дніпропетровська область,14433
2023,Харківська область,7454
2023,Полтавська область,6324
2023,Запорізька область,3454
2023,Чернігівська область,3959
2023,Рівненська область,9542
2023,Чернівецька область,6085
2023,Івано-Франківська область,8163
2023,Хмельницька область,7189
2023,Львівська область,16638
2023,Тернопільська область,5467
2023,Закарпатська область,9450
2023,Волинська область,8037
2023,Черкаська область,5630
2023,Кіровоградська область,4537
2023,Київська область,10820
2023,Миколаївська область,4827
2023,Вінницька область,8823